OMRÅDE;TID;CIVILSTAND;INDHOLD
København;2008K1;I alt;509861
København;2008K1;Ugift;309661
København;2008K1;Gift/separeret;128556
København;2008K1;Enke/enkemand;21555
København;2008K1;Fraskilt;50089
København;2008K2;I alt;511725
København;2008K2;Ugift;311978
København;2008K2;Gift/separeret;128289
København;2008K2;Enke/enkemand;21298
København;2008K2;Fraskilt;50160
København;2008K3;I alt;511686
København;2008K3;Ugift;311868
København;2008K3;Gift/separeret;128728
København;2008K3;Enke/enkemand;21066
København;2008K3;Fraskilt;50024
København;2008K4;I alt;516962
København;2008K4;Ugift;315545
København;2008K4;Gift/separeret;130727
København;2008K4;Enke/enkemand;20854
København;2008K4;Fraskilt;49836
København;2009K1;I alt;518574
København;2009K1;Ugift;317126
København;2009K1;Gift/separeret;130995
København;2009K1;Enke/enkemand;20600
København;2009K1;Fraskilt;49853
København;2009K2;I alt;520659
København;2009K2;Ugift;319778
København;2009K2;Gift/separeret;130736
København;2009K2;Enke/enkemand;20371
København;2009K2;Fraskilt;49774
København;2009K3;I alt;521397
København;2009K3;Ugift;319926
København;2009K3;Gift/separeret;131489
København;2009K3;Enke/enkemand;20134
København;2009K3;Fraskilt;49848
København;2009K4;I alt;526918
København;2009K4;Ugift;324313
København;2009K4;Gift/separeret;133014
København;2009K4;Enke/enkemand;19958
København;2009K4;Fraskilt;49633
København;2010K1;I alt;528208
København;2010K1;Ugift;325562
København;2010K1;Gift/separeret;133196
København;2010K1;Enke/enkemand;19761
København;2010K1;Fraskilt;49689
København;2010K2;I alt;530902
København;2010K2;Ugift;328670
København;2010K2;Gift/separeret;132864
København;2010K2;Enke/enkemand;19531
København;2010K2;Fraskilt;49837
København;2010K3;I alt;531199
København;2010K3;Ugift;328517
København;2010K3;Gift/separeret;133650
København;2010K3;Enke/enkemand;19307
København;2010K3;Fraskilt;49725
København;2010K4;I alt;538031
København;2010K4;Ugift;333929
København;2010K4;Gift/separeret;135341
København;2010K4;Enke/enkemand;19099
København;2010K4;Fraskilt;49662
København;2011K1;I alt;539542
København;2011K1;Ugift;335339
København;2011K1;Gift/separeret;135422
København;2011K1;Enke/enkemand;18963
København;2011K1;Fraskilt;49818
København;2011K2;I alt;541559
København;2011K2;Ugift;337717
København;2011K2;Gift/separeret;135002
København;2011K2;Enke/enkemand;18752
København;2011K2;Fraskilt;50088
København;2011K3;I alt;541989
København;2011K3;Ugift;337628
København;2011K3;Gift/separeret;135713
København;2011K3;Enke/enkemand;18584
København;2011K3;Fraskilt;50064
København;2011K4;I alt;548443
København;2011K4;Ugift;343028
København;2011K4;Gift/separeret;136965
København;2011K4;Enke/enkemand;18388
København;2011K4;Fraskilt;50062
København;2012K1;I alt;549050
København;2012K1;Ugift;343978
København;2012K1;Gift/separeret;136827
København;2012K1;Enke/enkemand;18201
København;2012K1;Fraskilt;50044
København;2012K2;I alt;551580
København;2012K2;Ugift;346995
København;2012K2;Gift/separeret;136238
København;2012K2;Enke/enkemand;18034
København;2012K2;Fraskilt;50313
København;2012K3;I alt;551900
København;2012K3;Ugift;346821
København;2012K3;Gift/separeret;136858
København;2012K3;Enke/enkemand;17899
København;2012K3;Fraskilt;50322
København;2012K4;I alt;557920
København;2012K4;Ugift;352000
København;2012K4;Gift/separeret;137880
København;2012K4;Enke/enkemand;17770
København;2012K4;Fraskilt;50270
København;2013K1;I alt;559440
København;2013K1;Ugift;353507
København;2013K1;Gift/separeret;138132
København;2013K1;Enke/enkemand;17524
København;2013K1;Fraskilt;50277
København;2013K2;I alt;562253
København;2013K2;Ugift;356849
København;2013K2;Gift/separeret;137542
København;2013K2;Enke/enkemand;17295
København;2013K2;Fraskilt;50567
København;2013K3;I alt;562379
København;2013K3;Ugift;356692
København;2013K3;Gift/separeret;137917
København;2013K3;Enke/enkemand;17154
København;2013K3;Fraskilt;50616
København;2013K4;I alt;569000
København;2013K4;Ugift;361813
København;2013K4;Gift/separeret;139664
København;2013K4;Enke/enkemand;17012
København;2013K4;Fraskilt;50511
København;2014K1;I alt;569557
København;2014K1;Ugift;362566
København;2014K1;Gift/separeret;138830
København;2014K1;Enke/enkemand;16918
København;2014K1;Fraskilt;51243
København;2014K2;I alt;572376
København;2014K2;Ugift;365720
København;2014K2;Gift/separeret;138186
København;2014K2;Enke/enkemand;16810
København;2014K2;Fraskilt;51660
København;2014K3;I alt;572287
København;2014K3;Ugift;365274
København;2014K3;Gift/separeret;138329
København;2014K3;Enke/enkemand;16725
København;2014K3;Fraskilt;51959
København;2014K4;I alt;579513
København;2014K4;Ugift;370940
København;2014K4;Gift/separeret;139729
København;2014K4;Enke/enkemand;16584
København;2014K4;Fraskilt;52260
København;2015K1;I alt;580184
København;2015K1;Ugift;371642
København;2015K1;Gift/separeret;139613
København;2015K1;Enke/enkemand;16492
København;2015K1;Fraskilt;52437
København;2015K2;I alt;583349
København;2015K2;Ugift;375047
København;2015K2;Gift/separeret;139465
København;2015K2;Enke/enkemand;16299
København;2015K2;Fraskilt;52538
København;2015K3;I alt;583525
København;2015K3;Ugift;374655
København;2015K3;Gift/separeret;139893
København;2015K3;Enke/enkemand;16182
København;2015K3;Fraskilt;52795
København;2015K4;I alt;589699
København;2015K4;Ugift;379545
København;2015K4;Gift/separeret;141141
København;2015K4;Enke/enkemand;16094
København;2015K4;Fraskilt;52919
København;2016K1;I alt;591481
København;2016K1;Ugift;381364
København;2016K1;Gift/separeret;140881
København;2016K1;Enke/enkemand;16037
København;2016K1;Fraskilt;53199
København;2016K2;I alt;594231
København;2016K2;Ugift;384161
København;2016K2;Gift/separeret;140688
København;2016K2;Enke/enkemand;15936
København;2016K2;Fraskilt;53446
København;2016K3;I alt;594535
København;2016K3;Ugift;383598
København;2016K3;Gift/separeret;141427
København;2016K3;Enke/enkemand;15787
København;2016K3;Fraskilt;53723
København;2016K4;I alt;601448
København;2016K4;Ugift;388897
København;2016K4;Gift/separeret;143024
København;2016K4;Enke/enkemand;15720
København;2016K4;Fraskilt;53807
København;2017K1;I alt;602481
København;2017K1;Ugift;389741
København;2017K1;Gift/separeret;143176
København;2017K1;Enke/enkemand;15607
København;2017K1;Fraskilt;53957
København;2017K2;I alt;606057
København;2017K2;Ugift;393512
København;2017K2;Gift/separeret;142783
København;2017K2;Enke/enkemand;15490
København;2017K2;Fraskilt;54272
København;2017K3;I alt;605366
København;2017K3;Ugift;392034
København;2017K3;Gift/separeret;143640
København;2017K3;Enke/enkemand;15417
København;2017K3;Fraskilt;54275
København;2017K4;I alt;611822
København;2017K4;Ugift;396546
København;2017K4;Gift/separeret;145607
København;2017K4;Enke/enkemand;15333
København;2017K4;Fraskilt;54336
København;2018K1;I alt;613288
København;2018K1;Ugift;398105
København;2018K1;Gift/separeret;145479
København;2018K1;Enke/enkemand;15238
København;2018K1;Fraskilt;54466
København;2018K2;I alt;615993
København;2018K2;Ugift;400873
København;2018K2;Gift/separeret;145301
København;2018K2;Enke/enkemand;15137
København;2018K2;Fraskilt;54682
København;2018K3;I alt;616098
København;2018K3;Ugift;400102
København;2018K3;Gift/separeret;146287
København;2018K3;Enke/enkemand;15012
København;2018K3;Fraskilt;54697
København;2018K4;I alt;622698
København;2018K4;Ugift;404978
København;2018K4;Gift/separeret;148172
København;2018K4;Enke/enkemand;14925
København;2018K4;Fraskilt;54623
København;2019K1;I alt;623404
København;2019K1;Ugift;405616
København;2019K1;Gift/separeret;147974
København;2019K1;Enke/enkemand;14868
København;2019K1;Fraskilt;54946
København;2019K2;I alt;626350
København;2019K2;Ugift;408833
København;2019K2;Gift/separeret;147848
København;2019K2;Enke/enkemand;14787
København;2019K2;Fraskilt;54882
København;2019K3;I alt;626508
København;2019K3;Ugift;408190
København;2019K3;Gift/separeret;148834
København;2019K3;Enke/enkemand;14713
København;2019K3;Fraskilt;54771
København;2019K4;I alt;633021
København;2019K4;Ugift;413168
København;2019K4;Gift/separeret;150492
København;2019K4;Enke/enkemand;14679
København;2019K4;Fraskilt;54682
København;2020K1;I alt;632340
København;2020K1;Ugift;412512
København;2020K1;Gift/separeret;150458
København;2020K1;Enke/enkemand;14630
København;2020K1;Fraskilt;54740